(10月1月養育支援週3)2月は穏やかに過ごせた4月からやっと子供たち同じ園に入園ならし保育コロナで休園子供達も喘息持ちだから家庭保育頑張ろうと思ったけどやっぱダメ(子供に強く叱るあたる自己嫌悪起きれない過眠	0	0	0	0	0	0	0	0	0
(おやおや 風邪をひいてしまうよ とか言いそう)	0	0	0	0	0	0	0	0	0
(元々 中国では喘息やアレルギーが重篤化リスクとなっていないことから その理由として コロナウイルスの細胞侵入経路であるACE2の遺伝子の発現度が アレルギー患者の気道細胞では低いためかを調べたのが この論文らしい ちなみに 非アトピー性喘息 	0	0	0	0	0	0	0	0	0
(鼻水を差し出す)	0	0	0	0	0	0	0	0	0
 「クラスターデモ」と「新型コロナウイルスはただの風邪です」が共に動画内にはいってました てんちむ大好き青年ありがとう 	0	0	0	0	0	0	0	0	0
 「スペイン風邪以降も感染症の流行は起きたのに 今ほど規制してなかった 今の規制はおかしい 」みたいな声もあって それは理解するんやけど 昔と違って今は「老人が多少多く死ぬ程度知るかボケー」と切り捨てることが政治的にも人道的にも出来ない社会なんやろうと 	0	0	0	0	0	0	0	0	0
 「実際は喉のぬぐい液しか簡単にとれない 痰が出るケースは比較的少ない 新型コロナウイルスの感染の場合には空咳が出て 痰は必ずしも出ない 痰が出るのは30%か40%ぐらい サンプルを喉のぬぐい液に頼らざるを得ないので 	0	0	0	0	0	0	0	0	0
緊急事態宣言発令中 対象地域)全国対象期間)5 31まで 自他の命を守るため 特に特定警戒都道府県ではこれまでの接触8割削減目標などを維持して下さい またそれ以外の地域でもアルコール消毒 咳エチケットなど感染症対策をお願いします 1 	0	0	0	0	0	0	0	0	0
ヘルペス値が証明のように下がっていっている アトピー性皮膚炎 喘息 ステロイド離脱 松本漢方クリニック 松本仁幸先生 	0	0	0	0	0	0	0	0	0
12年前の日本は新型の感染症に備えここまでの訓練をしていた 試作品であろうフェイスシールドもソーシャルディスタンスも既に確認できる 民主党政権は2009年の新型インフルエンザ流行時にこれを発熱外来という形で利用し乗り切った しかし安倍政権 	0	0	0	0	0	0	0	0	0
170122 Jun.K サイン会 2PM後半鼻水でるからかっこよく指で叩く かわいい	0	0	0	0	0	0	0	0	0
 1位にさせたい 初めの時から色々辛い時も癒された 鼻水が出てる写真とか笑ったし 本当にかわいいよ 天使	0	0	0	0	0	0	0	0	0
